Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Happy,Uplifted,Relaxed,Euphoric,Sleepy,width:100%,width:87%,width:80%,width:79%,width:67%,1. Earthy,2. Diesel,3. Pungent,100,Stress,Pain,Depression,Insomnia,Lack of Appetite,width:100%,width:75%,width:63%,width:62%,width:49%,$100 OG,Dry Mouth,Dizzy,Dry Eyes,Anxious,Paranoid,width:100%,width:30%,width:27%,width:20%,width:12%,509,4.0,Hybrid
Creative,Relaxed,Energetic,Sleepy,Giggly,width:100%,width:95%,width:71%,width:64%,width:61%,,,,Awh,Depression,Muscle Spasms,Fatigue,Pain,,width:100%,width:78%,width:34%,width:22%,,'98 Aloha White Widow,Dry Mouth,Anxious,Dizzy,Dry Eyes,Headache,width:100%,width:88%,width:49%,width:49%,width:49%,11,4.7,Hybrid
Energetic,Uplifted,Happy,Relaxed,Focused,width:100%,width:98%,width:82%,width:69%,width:66%,1. Tropical,2. Mint,3. Sweet,124,Pain,Fatigue,Depression,Stress,Inflammation,width:100%,width:84%,width:82%,width:66%,width:60%,1024,Dry Mouth,Dry Eyes,Dizzy,Paranoid,Anxious,width:100%,width:79%,width:39%,width:20%,width:2%,49,4.5,Sativa
Focused,Creative,Hungry,Euphoric,Aroused,width:100%,width:66%,width:33%,width:33%,width:33%,1. Diesel,,,12y,Depression,Pain,Stress,,,width:100%,width:100%,width:50%,,,12 Year OG,Anxious,Dizzy,Dry Eyes,Dry Mouth,Headache,width:100%,width:50%,width:50%,width:50%,width:50%,2,3.0,Hybrid
Sleepy,Euphoric,Focused,Energetic,Relaxed,width:100%,width:53%,width:53%,width:53%,width:15%,1. Diesel,2. Apricot,3. Citrus,13d,Pain,Depression,Stress,Inflammation,Fatigue,width:100%,width:59%,width:55%,width:48%,width:10%,13 Dawgs,Anxious,Dry Eyes,Headache,Dry Mouth,,width:100%,width:51%,width:51%,width:10%,,11,4.1,Hybrid
Energetic,Focused,Happy,Uplifted,Creative,width:100%,width:63%,width:41%,width:41%,width:31%,,,,22,Pain,Depression,Fatigue,Stress,Muscle Spasms,width:100%,width:66%,width:44%,width:44%,width:22%,22,Headache,,,,,width:100%,,,,,9,3.6,Hybrid
Happy,Relaxed,Euphoric,Uplifted,Creative,width:100%,width:98%,width:72%,width:68%,width:61%,1. Orange,2. Citrus,3. Sweet,24k,Stress,Depression,Pain,Fatigue,Insomnia,width:100%,width:78%,width:43%,width:31%,width:29%,24k Gold,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:47%,width:20%,width:18%,width:9%,219,4.6,Hybrid
Relaxed,Giggly,Sleepy,Tingly,Energetic,width:100%,width:86%,width:81%,width:72%,width:50%,1. Diesel,2. Sweet,3. Butter,3bs,Pain,Stress,Lack of Appetite,Muscle Spasms,Insomnia,width:100%,width:34%,width:34%,width:11%,width:11%,3 Bears OG,Dry Mouth,Dry Eyes,Headache,Anxious,,width:100%,width:75%,width:75%,width:69%,,7,4.4,Indica
Happy,Relaxed,Uplifted,Euphoric,Focused,width:100%,width:89%,width:76%,width:62%,width:57%,1. Earthy,2. Diesel,3. Pine,3k,Stress,Depression,Pain,Headaches,Muscle Spasms,width:100%,width:80%,width:79%,width:39%,width:36%,3 Kings,Dry Mouth,Dry Eyes,Headache,Dizzy,Paranoid,width:100%,width:61%,width:23%,width:23%,width:19%,326,4.4,Hybrid
Relaxed,Focused,Uplifted,Euphoric,Sleepy,width:100%,width:94%,width:81%,width:81%,width:76%,1. Diesel,2. Earthy,3. Woody,303,Pain,Depression,Insomnia,Muscle Spasms,Headaches,width:100%,width:32%,width:29%,width:26%,width:16%,303 OG,Dry Mouth,Dry Eyes,Dizzy,Anxious,,width:100%,width:7%,width:5%,width:2%,,82,4.3,Indica
